Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
Gunjan Saxena: The Kargil Girl,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij",35222,"Action, Biography, Drama",,-,TV-14,Action, Biography, Drama,Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij
65,"Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King",62536,"Action, Adventure, Drama",,-,PG-13,Action, Adventure, Drama,Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King
Batman Forever,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",260599,"Action, Adventure","184,031,112",16,PG-13,Action, Adventure,,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman
Gods of Egypt,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",121975,"Action, Adventure, Drama","31,153,464",86,PG-13,Action, Adventure, Drama,Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman
The Mummy,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe",198252,"Action, Adventure, Fantasy","80,101,125",578,PG-13,Action, Adventure, Fantasy,Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe
Wonder Woman 1984,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal",281425,"Action, Adventure, Fantasy","46,370,364",610,PG-13,Action, Adventure, Fantasy,Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal
Tank Girl,"Lori Petty, Ice-T, Naomi Watts, Don Harvey",33492,"Action, Comedy, Sci-Fi","4,064,333",730,R,Action, Comedy, Sci-Fi,Lori Petty, Ice-T, Naomi Watts, Don Harvey
Drive Angry,"Nicolas Cage, Amber Heard, William Fichtner, Billy Burke",101871,"Action, Comedy, Fantasy","10,706,786",1312,R,Action, Comedy, Fantasy,Nicolas Cage, Amber Heard, William Fichtner, Billy Burke
Maximum Overdrive,"Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith",34309,"Action, Comedy, Horror","7,433,663",1347,R,Action, Comedy, Horror,Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith
Godzilla,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",198361,"Action, Sci-Fi, Thriller","136,314,294",1359,PG-13,Action, Sci-Fi, Thriller,Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria
Ava,"Jessica Chastain, John Malkovich, Common, Geena Davis",59923,"Action, Drama, Thriller","497,747",1712,R,Action, Drama, Thriller,Jessica Chastain, John Malkovich, Common, Geena Davis
Blackhat,"Chris Hemsworth, Viola Davis, Tang Wei, Leehom Wang",62391,"Action, Crime, Thriller","7,097,125",2278,R,Action, Crime, Thriller,Chris Hemsworth, Viola Davis, Tang Wei, Leehom Wang
Snake Eyes,"Henry Golding, Andrew Koji, Haruka Abe, Takehiro Hira",42506,"Action, Adventure, Crime",,2331,PG-13,Action, Adventure, Crime,Henry Golding, Andrew Koji, Haruka Abe, Takehiro Hira
The Forever Purge,"Ana de la Reguera, Tenoch Huerta, Josh Lucas, Leven Rambin",39471,"Action, Crime, Horror","44,539,245",2592,R,Action, Crime, Horror,Ana de la Reguera, Tenoch Huerta, Josh Lucas, Leven Rambin
"Game Over, Man!","Adam Devine, Anders Holm, Blake Anderson, Chloe Bridges",32204,"Action, Comedy",,2867,TV-MA,Action, Comedy,,Adam Devine, Anders Holm, Blake Anderson, Chloe Bridges
Æon Flux,"Charlize Theron, Frances McDormand, Sophie Okonedo, Marton Csokas",131083,"Action, Adventure, Sci-Fi","25,857,987",3238,PG-13,Action, Adventure, Sci-Fi,Charlize Theron, Frances McDormand, Sophie Okonedo, Marton Csokas
Killers,"Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara",94211,"Action, Comedy, Romance","47,059,963",3756,PG-13,Action, Comedy, Romance,Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara
Pathfinder,"Karl Urban, Clancy Brown, Moon Bloodgood, Russell Means",45523,"Action, Adventure, Drama","10,232,081",3805,R,Action, Adventure, Drama,Karl Urban, Clancy Brown, Moon Bloodgood, Russell Means
